product_id,product_name,category_id,supplier_id,unit_price,cost_price,brand,expiry_date,storage_condition,created_at,pack_info
1,Health_Product_1,4,2,98.97,107.4,BioZen,2026-11-29,Refrigerated,2022-03-12,Pack: 10g | Form: Cream
2,Health_Product_2,8,3,111.42,64.75,MediCare,2026-08-08,Refrigerated,2022-09-13,
3,Health_Product_3,9,4,14.86,7.49,CuraMax,2027-03-15,Refrigerated,2023-06-25,Pack: 10 units | Form: Kit
4,Health_Product_4,5,4,274.78,153.13,VitalMeds,2029-09-28,Controlled,2022-09-26,Form: Device | Warranty: 12m
5,Health_Product_5,2,3,87.09,109.66,CuraMax,2027-01-05,Controlled,2025-10-07,Pack: 10 tabs | Strength: 250mg | Form: Tablet
6,Health_Product_6,2,4,90.24,110.64,VitalMeds,2027-01-07,Controlled,2022-11-03,Pack: 100 tabs | Strength: 500mg | Form: Tablet
7,Health_Product_7,2,2,50.63,29.04,VitalMeds,2029-10-01,Controlled,2023-01-01,Pack: 100 tabs | Strength: 500mg | Form: Tablet
8,Health_Product_8,9,2,275.57,172.84,LifeLine,2029-12-10,Controlled,2022-06-09,Form: Kit / Pack: 100 units
9,Health_Product_9,1,3,150.9,105.09,HealthPlus,2027-11-07,Refrigerated,2024-11-22,Pack: 20 tabs | Strength: 25mg | Form: Tablet
10,Health_Product_10,7,4,165.91,94.38,MediCare,2028-09-21,Ambient,2021-11-21,Pack: 90g | Form: Bandage
11,Health_Product_11,4,4,158.76,56.27,VitalMeds,2030-01-20,Ambient,2023-08-19,Pack: 20g | Form: Cream
12,Health_Product_12,8,4,18.71,6.79,VitalMeds,2027-11-03,Refrigerated,2023-02-27,Pack: 100g / Form: Cream
13,Health_Product_13,6,4,71.73,43.75,HealthPlus,2028-12-07,Controlled,2022-08-09,
14,Health_Product_14,1,5,138.32,62.7,VitalMeds,2026-08-02,Ambient,2022-05-04,Pack: 20 tabs | Strength: 100mg | Form: Tablet
15,Health_Product_15,2,2,12.24,6.91,PharmaCo,2026-10-25,Controlled,2023-09-19,Pack: 100 tabs | Strength: 100mg | Form: Tablet
16,Health_Product_16,2,3,167.11,71.0,BioZen,2027-01-27,Controlled,2024-09-14,Pack: 30 tabs | Strength: 25mg | Form: Tablet
17,Health_Product_17,1,2,118.11,53.15,VitalMeds,2027-12-08,Controlled,2025-07-27,Pack: 60 tabs / Strength: 250mg / Form: Tablet
18,Health_Product_18,4,3,15.6,8.37,CuraMax,2027-06-19,Controlled,2024-01-19,Form: Cream / Pack: 60g
19,Health_Product_19,6,3,188.93,134.32,CuraMax,2027-07-15,Controlled,2022-03-25,Pack: 500ml / Strength: 50mg/5ml / Form: Liquid
20,Health_Product_20,1,4,127.31,135.5,MediCare,2026-12-05,Refrigerated,2023-06-14,Strength: 250mg / Pack: 100 tabs
21,Health_Product_21,1,2,65.73,45.77,PharmaCo,2026-01-12,Controlled,2022-04-21,Pack: 100 tabs / Strength: 250mg / Form: Tablet
22,Health_Product_22,1,4,78.32,55.21,MediCare,2029-08-25,Ambient,2023-04-30,Pack: 10 tabs | Strength: 500mg | Form: Tablet
23,Health_Product_23,4,1,6.0,2.56,BioZen,2025-12-29,Refrigerated,2021-11-09,Form: Cream / Pack: 90g
24,Health_Product_24,7,5,284.3,362.37,MediCare,2026-12-17,Controlled,2022-05-28,Pack: 20g | Form: Bandage
25,Health_Product_25,7,1,43.62,27.69,VitalMeds,2026-07-29,Ambient,2022-11-03,
26,Health_Product_26,6,1,48.36,32.44,PharmaCo,2027-03-07,Controlled,2022-10-23,
27,Health_Product_27,1,5,33.51,18.17,CuraMax,2026-04-06,Refrigerated,2023-04-25,Pack: 10 tabs | Strength: 100mg | Form: Tablet
28,Health_Product_28,5,3,34.91,25.05,BioZen,2029-02-20,Ambient,2025-10-07,Form: Device | Warranty: 12m
29,Health_Product_29,4,5,44.14,15.64,VitalMeds,2027-07-28,Ambient,2022-01-30,Pack: 60g | Form: Cream
30,Health_Product_30,1,2,185.07,85.29,LifeLine,2027-07-31,Ambient,2024-08-28,Pack: 60 tabs | Strength: 250mg | Form: Tablet
31,Health_Product_31,3,3,81.62,47.39,BioZen,2026-09-27,Controlled,2023-04-04,Pack: 10 caps | Strength: 500mg | Form: Capsule
32,Health_Product_32,6,1,119.5,62.57,VitalMeds,2027-04-22,Controlled,2022-06-24,Pack: 300ml | Strength: 250mg/5ml | Form: Liquid
33,Health_Product_33,9,1,205.17,80.66,BioZen,2027-11-01,Refrigerated,2023-04-27,Form: Kit / Pack: 100 units
34,Health_Product_34,4,1,24.76,12.04,PharmaCo,2026-02-25,Ambient,2024-10-15,Pack: 30g | Form: Cream
35,Health_Product_35,2,5,55.58,19.98,VitalMeds,2026-04-14,Controlled,2022-05-14,Pack: 20 tabs | Strength: 25mg | Form: Tablet
36,Health_Product_36,9,5,169.87,99.85,CuraMax,2026-07-24,Ambient,2023-08-24,Form: Kit / Pack: 90 units
37,Health_Product_37,8,2,87.09,59.25,MediCare,2026-04-26,Ambient,2024-08-21,Pack: 10g | Form: Cream
38,Health_Product_38,6,2,128.86,87.29,HealthPlus,2029-11-11,Ambient,2023-09-02,Pack: 50ml | Strength: 250mg/5ml | Form: Liquid
39,Health_Product_39,9,5,34.55,21.04,BioZen,2025-12-29,Refrigerated,2025-08-06,
40,Health_Product_40,2,3,67.28,35.14,CuraMax,2028-04-08,Ambient,2022-11-11,Strength: 500mg / Pack: 30 tabs
41,Health_Product_41,5,2,175.14,94.48,BioZen,2029-05-04,Refrigerated,2024-02-14,Form: Device | Warranty: 6m
42,Health_Product_42,5,1,223.45,89.53,PharmaCo,2026-10-29,Refrigerated,2023-06-09,Form: Device | Warranty: 12m
43,Health_Product_43,1,4,65.37,31.13,VitalMeds,2029-06-02,Refrigerated,2022-03-21,Pack: 30 tabs | Strength: 50mg | Form: Tablet
44,Health_Product_44,1,4,38.39,16.1,BioZen,2028-01-08,Ambient,2023-07-03,Pack: 30 tabs | Strength: 50mg | Form: Tablet
45,Health_Product_45,3,4,297.9,194.78,MediCare,2027-04-21,Refrigerated,2022-06-16,Pack: 60 caps / Strength: 500mg / Form: Capsule
46,Health_Product_46,5,2,117.58,80.95,HealthPlus,2028-03-12,Controlled,2022-07-31,Form: Device | Warranty: 6m
47,Health_Product_47,4,4,45.13,24.76,PharmaCo,2028-11-05,Refrigerated,2022-09-20,Pack: 10g / Form: Cream
48,Health_Product_48,8,4,194.07,120.18,MediCare,2026-01-10,Controlled,2022-07-25,Pack: 60g | Form: Cream
49,Health_Product_49,2,3,279.07,110.22,VitalMeds,2026-03-05,Refrigerated,2022-08-07,Pack: 100 tabs / Strength: 650mg / Form: Tablet
50,Health_Product_50,3,1,72.4,41.64,CuraMax,2026-11-07,Ambient,2023-01-26,
51,Health_Product_51,3,2,146.82,89.56,CuraMax,2026-09-17,Refrigerated,2025-09-07,
