store_id,store_name,region,city,manager_name
1,MediHealth Downtown,North,Toronto,Alice Johnson
2,CuraLife Plaza,East,Vancouver,Robert King
3,HealthMax Center,West,Calgary,Linda Green
4,BioZen Hub,South,Montreal,Michael Brown
5,CareMart Main,Central,Ottawa,Emma Wilson
6,HealthPlus Market,North,Edmonton,Noah Davis
7,MedStore Square,East,Quebec City,Sophia Lewis
8,Lifeline Pharmacy,South,Halifax,Liam Harris
9,PharmaChoice Elite,West,Winnipeg,Olivia Clark
10,CuraMax Superstore,Central,Regina,Ethan Young
11,Wellness Corner,North,Waterloo,Zoe Hall
12,Precision Meds,East,Moncton,Jacob Ross
